Hour,Day,Month,Year,batteryLevel,weather_code_encoded,sunshine_duration_hours,precipitation (mm),soil_temperature_0_to_7cm (°F),vapour_pressure_deficit (kPa)
11,20,2,2022,74.0,0,1.0,0.0,62.4,0.94
7,3,6,2022,65.0,1,1.0,0.0,74.5,0.23
9,1,6,2023,75.5,1,1.0,0.0,76.4,0.79
9,2,1,2024,71.0,0,1.0,0.0,53.9,0.34
6,25,8,2022,50.0,1,0.0,0.0,75.9,0.05
17,16,8,2022,100.0,1,1.0,0.0,90.7,1.58
8,19,10,2022,42.0,3,0.0,0.0,59.5,0.66
11,26,7,2022,78.5,1,1.0,0.0,85.2,1.08
13,11,5,2023,100.0,1,1.0,0.0,91.3,2.89
9,2,6,2022,65.5,0,1.0,0.0,78.4,1.06
11,7,9,2022,85.5,4,1.0,0.2,86.1,0.99
17,21,9,2022,100.0,4,1.0,0.1,83.4,1.03
8,28,3,2022,54.5,1,1.0,0.0,62.2,0.41
16,14,6,2023,100.0,0,1.0,0.0,92.3,1.63
14,13,10,2023,100.0,0,1.0,0.0,86.7,1.08
10,6,7,2022,68.0,8,1.0,2.9,85.2,0.87
12,20,1,2023,87.0,1,1.0,0.0,72.4,1.46
13,29,12,2023,98.0,1,1.0,0.0,61.7,0.56
16,8,4,2023,100.0,4,1.0,0.1,84.3,1.08
8,26,12,2021,50.5,0,0.08532777777777778,0.0,54.8,0.03
7,17,3,2023,61.0,0,0.0,0.0,56.6,0.29
14,2,8,2023,100.0,4,1.0,0.2,91.9,1.96
14,28,1,2022,76.0,3,1.0,0.0,65.8,0.58
8,1,6,2023,71.5,4,1.0,0.1,74.9,0.7
10,23,10,2023,78.5,1,1.0,0.0,72.3,1.12
15,26,3,2023,100.0,0,1.0,0.0,89.5,1.89
9,30,1,2022,93.5,0,1.0,0.0,39.4,0.36
12,22,7,2023,99.0,0,1.0,0.0,90.8,1.71
10,6,6,2023,74.5,0,1.0,0.0,79.0,1.52
6,22,8,2022,50.0,1,0.0,0.0,76.4,0.08
10,1,12,2022,72.0,0,1.0,0.0,63.4,0.46
15,28,7,2022,100.0,4,1.0,0.3,91.0,1.61
7,5,9,2022,50.0,0,0.2581888888888889,0.0,78.4,0.15
6,22,4,2022,57.5,0,0.0,0.0,64.4,0.26
16,7,10,2023,100.0,1,1.0,0.0,88.1,1.6
12,23,12,2023,98.0,0,1.0,0.0,67.7,1.16
12,26,8,2022,98.5,4,1.0,0.2,87.3,1.08
17,19,8,2023,100.0,8,1.0,3.1,88.9,0.5
11,27,12,2023,39.5,0,0.0,0.0,64.5,0.39
9,10,11,2023,67.0,1,1.0,0.0,72.9,0.77
7,14,5,2022,56.0,0,0.9248777777777778,0.0,68.1,0.33
7,7,2,2023,55.5,0,0.0,0.0,54.6,0.15
7,7,10,2022,48.5,0,0.02286388888888889,0.0,63.8,0.15
7,18,2,2022,69.0,3,0.0,0.0,68.3,0.05
7,24,4,2023,65.0,3,0.0,0.0,69.0,0.26
10,27,3,2022,67.5,0,1.0,0.0,67.9,1.36
18,15,5,2022,100.0,0,1.0,0.0,84.9,1.1
13,16,9,2023,100.0,3,1.0,0.0,93.0,2.58
16,21,8,2022,100.0,4,1.0,0.2,89.4,1.32
